"orden_data01";"orden_oxido";"atomic_number";"name";"symbol";"valence";"roman";"chem_form01";"chem_form02";"nomen_01_tradicional";"nomen_02_stock";"nomen_03_sistematica";"chem_form03";"web_selector"
1;1;1;"Hidrógeno";"H";1;"I";"H2O1";"H_{2}O";"Óxido de Hidrógeno";"Óxido de Hidrógeno (I)";"MonÓxido de DiHidrógeno";"H_{2} + O_{2} \rightarrow H_{2}O";"1 - H - Hidrógeno"
2;2;3;"Litio";"Li";1;"I";"Li2O1";"Li_{2}O";"Óxido de Litio";"Óxido de Litio (I)";"MonÓxido de DiLitio";"2Li + O_{2} \rightarrow Li_{2}O";"3 - Li - Litio"
3;3;4;"Berilio";"Be";2;"II";"Be1O1";"BeO";"Óxido de Berilio";"Óxido de Berilio (II)";"MonÓxido de MonoBerilio";"2Be + O_{2} \rightarrow 2BeO";"4 - Be - Berilio"
4;4;5;"Boro";"B";3;"III";"B2O3";"B_{2}O_{3}";"Óxido de Boro";"Óxido de Boro (III)";"TriÓxido de DiBoro";"2B + O_{2} \rightarrow B_{2}O_{3}";"5 - B - Boro"
5;5;6;"Carbono";"C";2;"II";"C1O1";"CO";"Óxido Carbonoso";"Óxido de Carbono (II)";"MonÓxido de MonoCarbono";"2C + O_{2} \rightarrow 2CO";"6 - C - Carbono"
6;6;6;"Carbono";"C";4;"IV";"C1O2";"CO_{2}";"Óxido Carbónico";"Óxido de Carbono (IV)";"DiÓxido de MonoCarbono";"2C + O_{2} \rightarrow 2CO_{2}";"6 - C - Carbono"
7;7;7;"Nitrógeno";"N";2;"II";"N1O1";"NO";"Óxido HipoNitrogenoso";"Óxido de Nitrógeno (II)";"MonÓxido de MonoNitrógeno";"N_{2} + O_{2} \rightarrow 2NO";"7 - N - Nitrógeno"
8;8;7;"Nitrógeno";"N";3;"III";"N2O3";"N_{2}O_{3}";"Óxido Nitrogenoso";"Óxido de Nitrógeno (III)";"TriÓxido de DiNitrógeno";"N_{2} + O_{2} \rightarrow N_{2}O_{3}";"7 - N - Nitrógeno"
9;9;7;"Nitrógeno";"N";4;"IV";"N1O2";"NO_{2}";"Óxido Nítrico";"Óxido de Nitrógeno (IV)";"DiÓxido de MonoNitrógeno";"N_{2} + O_{2} \rightarrow 2NO_{2}";"7 - N - Nitrógeno"
10;10;7;"Nitrógeno";"N";5;"V";"N2O5";"N_{2}O_{5}";"Óxido PerNítrico";"Óxido de Nitrógeno (V)";"PentaÓxido de DiNitrógeno";"N_{2} + O_{2} \rightarrow N_{2}O_{5}";"7 - N - Nitrógeno"
11;11;9;"Flúor";"F";1;"I";"F2O1";"F_{2}O";"Óxido de Flúor";"Óxido de Flúor (I)";"MonÓxido de DiFlúor";"F_{2} + O_{2} \rightarrow F_{2}O";"9 - F - Flúor"
