"orden_data01";"orden_hidroxido";"atomic_number";"name";"symbol";"valence";"roman";"chem_form01";"chem_form02";"nomen_01_tradicional";"nomen_02_stock";"nomen_03_sistematica";"chem_form03";"web_selector"
2;1;3;"Litio";"Li";1;"I";"Li1(OH)1";"Li(OH)";"Hidróxido de Litio";"Hidŕoxido de Litio (I)";"MonHidróxido de MonoLitio";"Li_{2}O + H_{2}O \rightarrow 2Li(OH)";"3 - Li - Litio"
3;2;4;"Berilio";"Be";2;"II";"Be1(OH)2";"Be(OH)_{2}";"Hidróxido de Berilio";"Hidŕoxido de Berilio (II)";"DiHidróxido de MonoBerilio";"BeO + H_{2}O \rightarrow Be(OH)_{2}";"4 - Be - Berilio"
12;3;11;"Sodio";"Na";1;"I";"Na1(OH)1";"Na(OH)";"Hidróxido de Sodio";"Hidŕoxido de Sodio (I)";"MonHidróxido de MonoSodio";"Na_{2}O + H_{2}O \rightarrow 2Na(OH)";"11 - Na - Sodio"
13;4;12;"Magnesio";"Mg";2;"II";"Mg1(OH)2";"Mg(OH)_{2}";"Hidróxido de Magnesio";"Hidŕoxido de Magnesio (II)";"DiHidróxido de MonoMagnesio";"MgO + H_{2}O \rightarrow Mg(OH)_{2}";"12 - Mg - Magnesio"
14;5;13;"Aluminio";"Al";3;"III";"Al1(OH)3";"Al(OH)_{3}";"Hidróxido de Aluminio";"Hidŕoxido de Aluminio (III)";"TriHidróxido de MonoAluminio";"Al_{2}O_{3} + 3H_{2}O \rightarrow 2Al(OH)_{3}";"13 - Al - Aluminio"
15;6;14;"Silicio";"Si";4;"IV";"Si1(OH)4";"Si(OH)_{4}";"Hidróxido de Silicio";"Hidŕoxido de Silicio (IV)";"TetraHidróxido de MonoSilicio";"SiO_{2} + 2H_{2}O \rightarrow Si(OH)_{4}";"14 - Si - Silicio"
26;7;19;"Potasio";"K";1;"I";"K1(OH)1";"K(OH)";"Hidróxido de Potasio";"Hidŕoxido de Potasio (I)";"MonHidróxido de MonoPotasio";"K_{2}O + H_{2}O \rightarrow 2K(OH)";"19 - K - Potasio"
27;8;20;"Calcio";"Ca";2;"II";"Ca1(OH)2";"Ca(OH)_{2}";"Hidróxido de Calcio";"Hidŕoxido de Calcio (II)";"DiHidróxido de MonoCalcio";"CaO + H_{2}O \rightarrow Ca(OH)_{2}";"20 - Ca - Calcio"
28;9;21;"Escandio";"Sc";3;"III";"Sc1(OH)3";"Sc(OH)_{3}";"Hidróxido de Escandio";"Hidŕoxido de Escandio (III)";"TriHidróxido de MonoEscandio";"Sc_{2}O_{3} + 3H_{2}O \rightarrow 2Sc(OH)_{3}";"21 - Sc - Escandio"
29;10;22;"Titanio";"Ti";3;"III";"Ti1(OH)3";"Ti(OH)_{3}";"Hidróxido Titanioso";"Hidŕoxido de Titanio (III)";"TriHidróxido de MonoTitanio";"Ti_{2}O_{3} + 3H_{2}O \rightarrow 2Ti(OH)_{3}";"22 - Ti - Titanio"
30;11;22;"Titanio";"Ti";4;"IV";"Ti1(OH)4";"Ti(OH)_{4}";"Hidróxido Titánico";"Hidŕoxido de Titanio (IV)";"TetraHidróxido de MonoTitanio";"TiO_{2} + 2H_{2}O \rightarrow Ti(OH)_{4}";"22 - Ti - Titanio"
31;12;23;"Vanadio";"V";2;"II";"V1(OH)2";"V(OH)_{2}";"Hidróxido HipoVanadioso";"Hidŕoxido de Vanadio (II)";"DiHidróxido de MonoVanadio";"VO + H_{2}O \rightarrow V(OH)_{2}";"23 - V - Vanadio"
32;13;23;"Vanadio";"V";3;"III";"V1(OH)3";"V(OH)_{3}";"Hidróxido Vanadioso";"Hidŕoxido de Vanadio (III)";"TriHidróxido de MonoVanadio";"V_{2}O_{3} + 3H_{2}O \rightarrow 2V(OH)_{3}";"23 - V - Vanadio"
33;14;23;"Vanadio";"V";4;"IV";"V1(OH)4";"V(OH)_{4}";"Hidróxido Vanádico";"Hidŕoxido de Vanadio (IV)";"TetraHidróxido de MonoVanadio";"VO_{2} + 2H_{2}O \rightarrow V(OH)_{4}";"23 - V - Vanadio"
34;15;23;"Vanadio";"V";5;"V";"V1(OH)5";"V(OH)_{5}";"Hidróxido PerVanádico";"Hidŕoxido de Vanadio (V)";"PentaHidróxido de MonoVanadio";"V_{2}O_{5} + 5H_{2}O \rightarrow 2V(OH)_{5}";"23 - V - Vanadio"
35;16;24;"Cromo";"Cr";2;"II";"Cr1(OH)2";"Cr(OH)_{2}";"Hidróxido HipoCromoso";"Hidŕoxido de Cromo (II)";"DiHidróxido de MonoCromo";"CrO + H_{2}O \rightarrow Cr(OH)_{2}";"24 - Cr - Cromo"
36;17;24;"Cromo";"Cr";3;"III";"Cr1(OH)3";"Cr(OH)_{3}";"Hidróxido Crómico";"Hidŕoxido de Cromo (III)";"TriHidróxido de MonoCromo";"Cr_{2}O_{3} + 3H_{2}O \rightarrow 2Cr(OH)_{3}";"24 - Cr - Cromo"
37;18;24;"Cromo";"Cr";6;"VI";"Cr1(OH)6";"Cr(OH)_{6}";"Hidróxido Crómico";"Hidŕoxido de Cromo (VI)";"HexaHidróxido de MonoCromo";"CrO_{3} + 3H_{2}O \rightarrow Cr(OH)_{6}";"24 - Cr - Cromo"
38;19;25;"Manganeso";"Mn";2;"II";"Mn1(OH)2";"Mn(OH)_{2}";"Hidróxido HipoManganoso";"Hidŕoxido de Manganeso (II)";"DiHidróxido de MonoManganeso";"MnO + H_{2}O \rightarrow Mn(OH)_{2}";"25 - Mn - Manganeso"
39;20;25;"Manganeso";"Mn";3;"III";"Mn1(OH)3";"Mn(OH)_{3}";"Hidróxido Manganoso";"Hidŕoxido de Manganeso (III)";"TriHidróxido de MonoManganeso";"Mn_{2}O_{3} + 3H_{2}O \rightarrow 2Mn(OH)_{3}";"25 - Mn - Manganeso"
40;21;25;"Manganeso";"Mn";4;"IV";"Mn1(OH)4";"Mn(OH)_{4}";"Hidróxido Mangánico";"Hidŕoxido de Manganeso (IV)";"TetraHidróxido de MonoManganeso";"MnO_{2} + 2H_{2}O \rightarrow Mn(OH)_{4}";"25 - Mn - Manganeso"
41;22;25;"Manganeso";"Mn";6;"VI";"Mn1(OH)6";"Mn(OH)_{6}";"Hidróxido PerMangánico";"Hidŕoxido de Manganeso (VI)";"HexaHidróxido de MonoManganeso";"MnO_{3} + 3H_{2}O \rightarrow Mn(OH)_{6}";"25 - Mn - Manganeso"
42;23;25;"Manganeso";"Mn";7;"VII";"Mn1(OH)7";"Mn(OH)_{7}";"Hidróxido ????Mangánico???";"Hidŕoxido de Manganeso (VII)";"HeptaHidróxido de MonoManganeso";"Mn_{2}O_{7} + 7H_{2}O \rightarrow 2Mn(OH)_{7}";"25 - Mn - Manganeso"
43;24;26;"Hierro";"Fe";2;"II";"Fe1(OH)2";"Fe(OH)_{2}";"Hidróxido Ferroso";"Hidŕoxido de Hierro (II)";"DiHidróxido de MonoHierro";"FeO + H_{2}O \rightarrow Fe(OH)_{2}";"26 - Fe - Hierro"
44;25;26;"Hierro";"Fe";3;"III";"Fe1(OH)3";"Fe(OH)_{3}";"Hidróxido Férrico";"Hidŕoxido de Hierro (III)";"TriHidróxido de MonoHierro";"Fe_{2}O_{3} + 3H_{2}O \rightarrow 2Fe(OH)_{3}";"26 - Fe - Hierro"
45;26;27;"Cobalto";"Co";2;"II";"Co1(OH)2";"Co(OH)_{2}";"Hidróxido Cobaltoso";"Hidŕoxido de Cobalto (II)";"DiHidróxido de MonoCobalto";"CoO + H_{2}O \rightarrow Co(OH)_{2}";"27 - Co - Cobalto"
46;27;27;"Cobalto";"Co";3;"III";"Co1(OH)3";"Co(OH)_{3}";"Hidróxido Cobáltico";"Hidŕoxido de Cobalto (III)";"TriHidróxido de MonoCobalto";"Co_{2}O_{3} + 3H_{2}O \rightarrow 2Co(OH)_{3}";"27 - Co - Cobalto"
47;28;28;"Níquel";"Ni";2;"II";"Ni1(OH)2";"Ni(OH)_{2}";"Hidróxido Niqueloso";"Hidŕoxido de Níquel (II)";"DiHidróxido de MonoNíquel";"NiO + H_{2}O \rightarrow Ni(OH)_{2}";"28 - Ni - Níquel"
48;29;28;"Níquel";"Ni";3;"III";"Ni1(OH)3";"Ni(OH)_{3}";"Hidróxido Niquélico";"Hidŕoxido de Níquel (III)";"TriHidróxido de MonoNíquel";"Ni_{2}O_{3} + 3H_{2}O \rightarrow 2Ni(OH)_{3}";"28 - Ni - Níquel"
49;30;29;"Cobre";"Cu";1;"I";"Cu1(OH)1";"Cu(OH)";"Hidróxido Cuproso";"Hidŕoxido de Cobre (I)";"MonHidróxido de MonoCobre";"Cu_{2}O + H_{2}O \rightarrow 2Cu(OH)";"29 - Cu - Cobre"
50;31;29;"Cobre";"Cu";2;"II";"Cu1(OH)2";"Cu(OH)_{2}";"Hidróxido Cúprico";"Hidŕoxido de Cobre (II)";"DiHidróxido de MonoCobre";"CuO + H_{2}O \rightarrow Cu(OH)_{2}";"29 - Cu - Cobre"
51;32;30;"Zinc";"Zn";2;"II";"Zn1(OH)2";"Zn(OH)_{2}";"Hidróxido de Zinc";"Hidŕoxido de Zinc (II)";"DiHidróxido de MonoZinc";"ZnO + H_{2}O \rightarrow Zn(OH)_{2}";"30 - Zn - Zinc"
52;33;31;"Galio";"Ga";3;"III";"Ga1(OH)3";"Ga(OH)_{3}";"Hidróxido de Galio";"Hidŕoxido de Galio (III)";"TriHidróxido de MonoGalio";"Ga_{2}O_{3} + 3H_{2}O \rightarrow 2Ga(OH)_{3}";"31 - Ga - Galio"
53;34;32;"Germanio";"Ge";4;"IV";"Ge1(OH)4";"Ge(OH)_{4}";"Hidróxido de Germanio";"Hidŕoxido de Germanio (IV)";"TetraHidróxido de MonoGermanio";"GeO_{2} + 2H_{2}O \rightarrow Ge(OH)_{4}";"32 - Ge - Germanio"
60;35;37;"Rubidio";"Rb";1;"I";"Rb1(OH)1";"Rb(OH)";"Hidróxido de Rubidio";"Hidŕoxido de Rubidio (I)";"MonHidróxido de MonoRubidio";"Rb_{2}O + H_{2}O \rightarrow 2Rb(OH)";"37 - Rb - Rubidio"
61;36;38;"Estroncio";"Sr";2;"II";"Sr1(OH)2";"Sr(OH)_{2}";"Hidróxido de Estroncio";"Hidŕoxido de Estroncio (II)";"DiHidróxido de MonoEstroncio";"SrO + H_{2}O \rightarrow Sr(OH)_{2}";"38 - Sr - Estroncio"
62;37;39;"Itrio";"Y";3;"III";"Y1(OH)3";"Y(OH)_{3}";"Hidróxido de Itrio";"Hidŕoxido de Itrio (III)";"TriHidróxido de MonoItrio";"Y_{2}O_{3} + 3H_{2}O \rightarrow 2Y(OH)_{3}";"39 - Y - Itrio"
63;38;40;"Circonio";"Zr";4;"IV";"Zr1(OH)4";"Zr(OH)_{4}";"Hidróxido de Circonio";"Hidŕoxido de Circonio (IV)";"TetraHidróxido de MonoCirconio";"ZrO_{2} + 2H_{2}O \rightarrow Zr(OH)_{4}";"40 - Zr - Circonio"
64;39;41;"Niobio";"Nb";3;"III";"Nb1(OH)3";"Nb(OH)_{3}";"Hidróxido Niobioso";"Hidŕoxido de Niobio (III)";"TriHidróxido de MonoNiobio";"Nb_{2}O_{3} + 3H_{2}O \rightarrow 2Nb(OH)_{3}";"41 - Nb - Niobio"
65;40;41;"Niobio";"Nb";5;"V";"Nb1(OH)5";"Nb(OH)_{5}";"Hidróxido Nióbico";"Hidŕoxido de Niobio (V)";"PentaHidróxido de MonoNiobio";"Nb_{2}O_{5} + 5H_{2}O \rightarrow 2Nb(OH)_{5}";"41 - Nb - Niobio"
66;41;42;"Molibdeno";"Mo";2;"II";"Mo1(OH)2";"Mo(OH)_{2}";"Hidróxido HipoMolibdenoso";"Hidŕoxido de Molibdeno (II)";"DiHidróxido de MonoMolibdeno";"MoO + H_{2}O \rightarrow Mo(OH)_{2}";"42 - Mo - Molibdeno"
67;42;42;"Molibdeno";"Mo";3;"III";"Mo1(OH)3";"Mo(OH)_{3}";"Hidróxido Molibdenoso";"Hidŕoxido de Molibdeno (III)";"TriHidróxido de MonoMolibdeno";"Mo_{2}O_{3} + 3H_{2}O \rightarrow 2Mo(OH)_{3}";"42 - Mo - Molibdeno"
68;43;42;"Molibdeno";"Mo";4;"IV";"Mo1(OH)4";"Mo(OH)_{4}";"Hidróxido Molibdénico";"Hidŕoxido de Molibdeno (IV)";"TetraHidróxido de MonoMolibdeno";"MoO_{2} + 2H_{2}O \rightarrow Mo(OH)_{4}";"42 - Mo - Molibdeno"
69;44;42;"Molibdeno";"Mo";5;"V";"Mo1(OH)5";"Mo(OH)_{5}";"Hidróxido PerMolibdénico";"Hidŕoxido de Molibdeno (V)";"PentaHidróxido de MonoMolibdeno";"Mo_{2}O_{5} + 5H_{2}O \rightarrow 2Mo(OH)_{5}";"42 - Mo - Molibdeno"
70;45;42;"Molibdeno";"Mo";6;"VI";"Mo1(OH)6";"Mo(OH)_{6}";"Hidróxido ???Molibdénico???";"Hidŕoxido de Molibdeno (VI)";"HexaHidróxido de MonoMolibdeno";"MoO_{3} + 3H_{2}O \rightarrow Mo(OH)_{6}";"42 - Mo - Molibdeno"
71;46;43;"Tecnecio";"Tc";7;"VII";"Tc1(OH)7";"Tc(OH)_{7}";"Hidróxido de Tecnecio";"Hidŕoxido de Tecnecio (VII)";"HeptaHidróxido de MonoTecnecio";"Tc_{2}O_{7} + 7H_{2}O \rightarrow 2Tc(OH)_{7}";"43 - Tc - Tecnecio"
72;47;44;"Rutenio";"Ru";2;"II";"Ru1(OH)2";"Ru(OH)_{2}";"Hidróxido HipoRutenioso";"Hidŕoxido de Rutenio (II)";"DiHidróxido de MonoRutenio";"RuO + H_{2}O \rightarrow Ru(OH)_{2}";"44 - Ru - Rutenio"
73;48;44;"Rutenio";"Ru";3;"III";"Ru1(OH)3";"Ru(OH)_{3}";"Hidróxido Rutenioso";"Hidŕoxido de Rutenio (III)";"TriHidróxido de MonoRutenio";"Ru_{2}O_{3} + 3H_{2}O \rightarrow 2Ru(OH)_{3}";"44 - Ru - Rutenio"
74;49;44;"Rutenio";"Ru";4;"IV";"Ru1(OH)4";"Ru(OH)_{4}";"Hidróxido Ruténico";"Hidŕoxido de Rutenio (IV)";"TetraHidróxido de MonoRutenio";"RuO_{2} + 2H_{2}O \rightarrow Ru(OH)_{4}";"44 - Ru - Rutenio"
75;50;44;"Rutenio";"Ru";6;"VI";"Ru1(OH)6";"Ru(OH)_{6}";"Hidróxido PerRuténico";"Hidŕoxido de Rutenio (VI)";"HexaHidróxido de MonoRutenio";"RuO_{3} + 3H_{2}O \rightarrow Ru(OH)_{6}";"44 - Ru - Rutenio"
76;51;44;"Rutenio";"Ru";8;"VIII";"Ru1(OH)8";"Ru(OH)_{8}";"Hidróxido ???Ruténico????";"Hidŕoxido de Rutenio (VIII)";"OctoHidróxido de MonoRutenio";"RuO_{4} + 4H_{2}O \rightarrow Ru(OH)_{8}";"44 - Ru - Rutenio"
77;52;45;"Rodio";"Rh";2;"II";"Rh1(OH)2";"Rh(OH)_{2}";"Hidróxido HipoRodioso";"Hidŕoxido de Rodio (II)";"DiHidróxido de MonoRodio";"RhO + H_{2}O \rightarrow Rh(OH)_{2}";"45 - Rh - Rodio"
78;53;45;"Rodio";"Rh";3;"III";"Rh1(OH)3";"Rh(OH)_{3}";"Hidróxido Rodioso";"Hidŕoxido de Rodio (III)";"TriHidróxido de MonoRodio";"Rh_{2}O_{3} + 3H_{2}O \rightarrow 2Rh(OH)_{3}";"45 - Rh - Rodio"
79;54;45;"Rodio";"Rh";4;"IV";"Rh1(OH)4";"Rh(OH)_{4}";"Hidróxido Ródico";"Hidŕoxido de Rodio (IV)";"TetraHidróxido de MonoRodio";"RhO_{2} + 2H_{2}O \rightarrow Rh(OH)_{4}";"45 - Rh - Rodio"
80;55;46;"Paladio";"Pd";2;"II";"Pd1(OH)2";"Pd(OH)_{2}";"Hidróxido Paladioso";"Hidŕoxido de Paladio (II)";"DiHidróxido de MonoPaladio";"PdO + H_{2}O \rightarrow Pd(OH)_{2}";"46 - Pd - Paladio"
81;56;46;"Paladio";"Pd";4;"IV";"Pd1(OH)4";"Pd(OH)_{4}";"Hidróxido Paládico";"Hidŕoxido de Paladio (IV)";"TetraHidróxido de MonoPaladio";"PdO_{2} + 2H_{2}O \rightarrow Pd(OH)_{4}";"46 - Pd - Paladio"
82;57;47;"Plata";"Ag";1;"I";"Ag1(OH)1";"Ag(OH)";"Hidróxido de Plata";"Hidŕoxido de Plata (I)";"MonHidróxido de MonoPlata";"Ag_{2}O + H_{2}O \rightarrow 2Ag(OH)";"47 - Ag - Plata"
83;58;48;"Cadmio";"Cd";2;"II";"Cd1(OH)2";"Cd(OH)_{2}";"Hidróxido de Cadmio";"Hidŕoxido de Cadmio (II)";"DiHidróxido de MonoCadmio";"CdO + H_{2}O \rightarrow Cd(OH)_{2}";"48 - Cd - Cadmio"
