"orden_data01";"orden_oxacido";"atomic_number";"name";"symbol";"valence";"roman";"chem_form01";"chem_form02";"nomen_01_tradicional";"nomen_02_stock";"nomen_03_sistematica";"chem_form03";"web_selector"
4;1;5;"Boro";"B";3;"III";"H1B1O2";"HBO_{2}";"Ácido Boroso";"Ácido DiOxoBoroso (III)";"DiOxoBorito de MonHidrógeno";"B_{2}O_{3} + H_{2}O \rightarrow 2HBO_{2}";"5 - B - Boro"
5;2;6;"Carbono";"C";2;"II";"H2C1O2";"H_{2}CO_{2}";"Ácido Carbonoso";"Ácido DiOxoCarbonoso (II)";"DiOxoCarbonito de DiHidrógeno";"CO + H_{2}O \rightarrow H_{2}CO_{2}";"6 - C - Carbono"
6;3;6;"Carbono";"C";4;"IV";"H2C1O3";"H_{2}CO_{3}";"Ácido Carbónico";"Ácido TriOxoCarbónico (IV)";"TriOxoCarbonato de DiHidrógeno";"CO_{2} + H_{2}O \rightarrow H_{2}CO_{3}";"6 - C - Carbono"
7;4;7;"Nitrógeno";"N";2;"II";"H2N1O2";"H_{2}NO_{2}";"Ácido HipoNitrogenoso";"Ácido DiOxoHipoNitrogenoso (II)";"DiOxoHipoNitrito de DiHidrógeno";"NO + H_{2}O \rightarrow H_{2}NO_{2}";"7 - N - Nitrógeno"
8;5;7;"Nitrógeno";"N";3;"III";"H1N1O2";"HNO_{2}";"Ácido Nitrogenoso";"Ácido DiOxoNitrogenoso (III)";"DiOxoNitrito de MonHidrógeno";"N_{2}O_{3} + H_{2}O \rightarrow 2HNO_{2}";"7 - N - Nitrógeno"
9;6;7;"Nitrógeno";"N";4;"IV";"H2N1O3";"H_{2}NO_{3}";"Ácido Nítrico";"Ácido TriOxoNítrico (IV)";"TriOxoNitrato de DiHidrógeno";"NO_{2} + H_{2}O \rightarrow H_{2}NO_{3}";"7 - N - Nitrógeno"
10;7;7;"Nitrógeno";"N";5;"V";"H1N1O3";"HNO_{3}";"Ácido PerNítrico";"Ácido TriOxoPerNítrico (V)";"TriOxoPerNitrato de MonHidrógeno";"N_{2}O_{5} + H_{2}O \rightarrow 2HNO_{3}";"7 - N - Nitrógeno"
11;8;9;"Flúor";"F";1;"I";"H1F1O1";"HFO";"Ácido Fluoroso";"Ácido MonOxoFluoroso (I)";"MonOxoFluorito de MonHidrógeno";"F_{2}O + H_{2}O \rightarrow 2HFO";"9 - F - Flúor"
16;9;15;"Fósforo";"P";3;"III";"H1P1O2";"HPO_{2}";"Ácido HipoFosforoso";"Ácido DiOxoHipoFosforoso (III)";"DiOxoHipoFosfito de MonHidrógeno";"P_{2}O_{3} + H_{2}O \rightarrow 2HPO_{2}";"15 - P - Fósforo"
17;10;15;"Fósforo";"P";4;"IV";"H2P1O3";"H_{2}PO_{3}";"Ácido Fosforoso";"Ácido TriOxoFosforoso (IV)";"TriOxoFosfito de DiHidrógeno";"PO_{2} + H_{2}O \rightarrow H_{2}PO_{3}";"15 - P - Fósforo"
